ID,Title,Skills,Sector,Location,Capacity,Duration,Course,Company
1861,Mechanical Engineering Trainee,SEM;Power Systems;Blockchain,Media,Chennai,5,6 months,Human Resources,Times of India
354,Data Analyst,Solidity;Content;Finance;Adobe XD,Operations,Mumbai,13,3 months,Digital Marketing Hub,UNICEF
1334,Mechanical Engineering Trainee,Photoshop;Android;SEO,Research,Chennai,8,5 months,Human Resources,Tata Motors
906,Cybersecurity Intern,Operations;R;NLP,Social Work,Chennai,15,5 months,Finance & Accounting,LinkedIn
1290,Data Engineer,Java;Swift;Inventory;Accounting,Logistics,Mumbai,9,3 months,Electrical Systems,Tata Motors
1274,Social Work Intern,Blockchain;Data Analysis;CAD,Media,Lucknow,16,4 months,Data Engineering,UNICEF
939,Machine Learning Intern,ML;Firebase;Kotlin;Java,Management,Bangalore,9,3 months,Data Science Bootcamp,KPMG
1732,Journalism Intern,SEO;SolidWorks,Mechanical,Delhi,4,6 months,Research Methodologies,UNICEF
66,Cybersecurity Intern,Inventory;HTML,Logistics,Chennai,14,5 months,Social Work Program,Times of India
1324,UI Designer Junior,Surveying;SEO,Business,Indore,15,6 months,Supply Chain Management,Amazon
57,Civil Engineer Intern,Kotlin;Operations;Reporting;Troubleshooting;Figma,Business,Ahmedabad,12,2 months,Research Methodologies,Goldman Sachs
1293,Mobile App Developer,Grammar;Surveying;MS Office,Media,Lucknow,19,6 months,Data Engineering,LinkedIn
1119,Graphic Designer Intern,Adobe XD;React;SEM;Surveying;Communication,Management,Pune,13,3 months,Blockchain Development,Facebook
585,Supply Chain Intern,Community Outreach;Operations,Mechanical,Lucknow,14,2 months,Mobile Development,KPMG
375,Blockchain Developer,Social Media;Logistics;Communication;Operations,Social Work,Kolkata,8,4 months,Networking Basics,Facebook
276,Civil Engineer Intern,SolidWorks;Tally;Surveying,Data,Kolkata,19,3 months,Networking Basics,Adobe
747,Research Intern,Swift;Logistics;Data Analysis;Operations;Community Outreach,Social Work,Pune,5,2 months,UI/UX Design,Dell
129,Data Engineer Junior,Google Analytics;CSS,Operations,Indore,20,6 months,UI/UX Design,UNICEF
1647,Digital Marketing Intern,Excel;Python;CAD;Sales;Surveying,Media,Kolkata,8,4 months,Research Methodologies,Times of India
